Product_ID,Product_Name,Category,Price,Cost,Stock_Level,Units_Sold,Supplier,Last_Restocked,Profit_Margin
P001,Wireless Headphones,Electronics,89.99,45.00,156,234,TechCorp,2023-01-15,49.99
P002,Cotton T-Shirt,Clothing,24.99,8.50,89,412,FashionPlus,2023-01-12,16.49
P003,Garden Hose,Home & Garden,34.99,18.20,67,89,GreenSupply,2023-01-08,16.79
P004,Smartphone Case,Electronics,19.99,7.30,203,567,TechCorp,2023-01-20,12.69
P005,Denim Jeans,Clothing,59.99,25.00,45,189,FashionPlus,2023-01-14,34.99
P006,Plant Fertilizer,Home & Garden,12.99,5.80,134,267,GreenSupply,2023-01-10,7.19
P007,Bluetooth Speaker,Electronics,129.99,65.00,78,156,TechCorp,2023-01-18,64.99
P008,Wool Sweater,Clothing,79.99,32.00,34,98,FashionPlus,2023-01-16,47.99
P009,Watering Can,Home & Garden,22.99,11.50,91,145,GreenSupply,2023-01-11,11.49
P010,Tablet Stand,Electronics,39.99,18.00,112,278,TechCorp,2023-01-19,21.99
P011,Athletic Shorts,Clothing,29.99,12.50,67,234,FashionPlus,2023-01-13,17.49
P012,Outdoor Lights,Home & Garden,45.99,22.30,89,112,GreenSupply,2023-01-09,23.69
P013,USB Cable,Electronics,14.99,4.20,245,456,TechCorp,2023-01-17,10.79
P014,Casual Dress,Clothing,49.99,21.00,56,167,FashionPlus,2023-01-15,28.99
P015,Pruning Shears,Home & Garden,28.99,14.60,78,134,GreenSupply,2023-01-12,14.39